[03:15:25] src/nnvm/legacy_json_util.cc:190: Loading symbol saved by previous version v0.8.0. Attempting to upgrade...
[03:15:25] src/nnvm/legacy_json_util.cc:198: Symbol successfully upgraded!
note: caffe model don't have 'flatten0', but 'flatten_0'
[03:15:27] src/io/iter_image_recordio.cc:220: ImageRecordIOParser: ../../data/ism-train_train.rec, use 4 threads for decoding..
[03:15:28] src/io/iter_image_recordio.cc:220: ImageRecordIOParser: ../../data/ism-train_val.rec, use 4 threads for decoding..
2017-07-21 03:15:33,419 Epoch[0] Batch [10]	Speed: 637.70 samples/sec	Train-accuracy=0.500000
2017-07-21 03:15:34,360 Epoch[0] Batch [20]	Speed: 638.43 samples/sec	Train-accuracy=0.525000
2017-07-21 03:15:35,297 Epoch[0] Batch [30]	Speed: 640.25 samples/sec	Train-accuracy=0.613333
2017-07-21 03:15:35,860 Epoch[0] Train-accuracy=0.638889
2017-07-21 03:15:35,860 Epoch[0] Time cost=4.706
2017-07-21 03:15:35,937 Saved checkpoint to "../../models/pretrained-models/caffenet/caffenet-train-224-lr-0.001-0001.params"
2017-07-21 03:15:36,143 Epoch[0] Validation-accuracy=0.650000
2017-07-21 03:15:37,162 Epoch[1] Batch [10]	Speed: 638.79 samples/sec	Train-accuracy=0.645455
2017-07-21 03:15:38,098 Epoch[1] Batch [20]	Speed: 640.94 samples/sec	Train-accuracy=0.633333
2017-07-21 03:15:39,037 Epoch[1] Batch [30]	Speed: 639.79 samples/sec	Train-accuracy=0.606667
2017-07-21 03:15:39,511 Epoch[1] Train-accuracy=0.633333
2017-07-21 03:15:39,511 Epoch[1] Time cost=3.368
2017-07-21 03:15:39,586 Saved checkpoint to "../../models/pretrained-models/caffenet/caffenet-train-224-lr-0.001-0002.params"
2017-07-21 03:15:39,920 Epoch[1] Validation-accuracy=0.650000
2017-07-21 03:15:40,951 Epoch[2] Batch [10]	Speed: 636.96 samples/sec	Train-accuracy=0.637879
2017-07-21 03:15:41,904 Epoch[2] Batch [20]	Speed: 630.39 samples/sec	Train-accuracy=0.631667
2017-07-21 03:15:42,838 Epoch[2] Batch [30]	Speed: 642.85 samples/sec	Train-accuracy=0.625000
2017-07-21 03:15:43,307 Epoch[2] Train-accuracy=0.620000
2017-07-21 03:15:43,308 Epoch[2] Time cost=3.387
2017-07-21 03:15:43,383 Saved checkpoint to "../../models/pretrained-models/caffenet/caffenet-train-224-lr-0.001-0003.params"
2017-07-21 03:15:43,564 Epoch[2] Validation-accuracy=0.641667
2017-07-21 03:15:44,745 Epoch[3] Batch [10]	Speed: 637.42 samples/sec	Train-accuracy=0.640909
2017-07-21 03:15:45,688 Epoch[3] Batch [20]	Speed: 636.60 samples/sec	Train-accuracy=0.633333
2017-07-21 03:15:46,630 Epoch[3] Batch [30]	Speed: 637.22 samples/sec	Train-accuracy=0.616667
2017-07-21 03:15:47,192 Epoch[3] Train-accuracy=0.622222
2017-07-21 03:15:47,192 Epoch[3] Time cost=3.628
2017-07-21 03:15:47,268 Saved checkpoint to "../../models/pretrained-models/caffenet/caffenet-train-224-lr-0.001-0004.params"
2017-07-21 03:15:47,458 Epoch[3] Validation-accuracy=0.633333
2017-07-21 03:15:48,479 Epoch[4] Batch [10]	Speed: 638.41 samples/sec	Train-accuracy=0.637879
2017-07-21 03:15:49,419 Epoch[4] Batch [20]	Speed: 638.98 samples/sec	Train-accuracy=0.651667
2017-07-21 03:15:50,352 Epoch[4] Batch [30]	Speed: 643.27 samples/sec	Train-accuracy=0.603333
2017-07-21 03:15:50,820 Epoch[4] Train-accuracy=0.653333
2017-07-21 03:15:50,820 Epoch[4] Time cost=3.362
2017-07-21 03:15:50,895 Saved checkpoint to "../../models/pretrained-models/caffenet/caffenet-train-224-lr-0.001-0005.params"
2017-07-21 03:15:51,097 Epoch[4] Validation-accuracy=0.650000
2017-07-21 03:15:52,121 Epoch[5] Batch [10]	Speed: 637.54 samples/sec	Train-accuracy=0.631818
2017-07-21 03:15:53,059 Epoch[5] Batch [20]	Speed: 639.58 samples/sec	Train-accuracy=0.646667
2017-07-21 03:15:53,996 Epoch[5] Batch [30]	Speed: 640.99 samples/sec	Train-accuracy=0.596667
2017-07-21 03:15:54,462 Epoch[5] Train-accuracy=0.640000
2017-07-21 03:15:54,463 Epoch[5] Time cost=3.366
