[15:14:34] src/nnvm/legacy_json_util.cc:190: Loading symbol saved by previous version v0.8.0. Attempting to upgrade...
[15:14:34] src/nnvm/legacy_json_util.cc:198: Symbol successfully upgraded!
note: caffe model don't have 'flatten0', but 'flatten_0'
note: don't have flatten_0, but flatten
[15:14:35] src/io/iter_image_recordio.cc:220: ImageRecordIOParser: ../../data/ism-train_train.rec, use 4 threads for decoding..
[15:14:49] src/io/iter_image_recordio.cc:220: ImageRecordIOParser: ../../data/ism-train_val.rec, use 4 threads for decoding..
2017-07-21 15:16:04,845 Epoch[0] Batch [10]	Speed: 232.94 samples/sec	Train-accuracy=0.589015
2017-07-21 15:16:06,198 Epoch[0] Batch [20]	Speed: 355.01 samples/sec	Train-accuracy=0.637500
2017-07-21 15:16:07,541 Epoch[0] Batch [30]	Speed: 357.55 samples/sec	Train-accuracy=0.645833
2017-07-21 15:16:08,880 Epoch[0] Batch [40]	Speed: 358.43 samples/sec	Train-accuracy=0.781250
2017-07-21 15:16:09,552 Epoch[0] Train-accuracy=0.795833
2017-07-21 15:16:09,552 Epoch[0] Time cost=14.808
2017-07-21 15:16:10,102 Saved checkpoint to "../../models/pretrained-models/nin/nin-train-224-lr-0.001-momentum-0.9-0001.params"
2017-07-21 15:16:10,343 Epoch[0] Validation-accuracy=0.822917
2017-07-21 15:16:11,767 Epoch[1] Batch [10]	Speed: 356.73 samples/sec	Train-accuracy=0.839015
2017-07-21 15:16:13,108 Epoch[1] Batch [20]	Speed: 358.13 samples/sec	Train-accuracy=0.835417
2017-07-21 15:16:14,451 Epoch[1] Batch [30]	Speed: 357.40 samples/sec	Train-accuracy=0.808333
2017-07-21 15:16:15,792 Epoch[1] Batch [40]	Speed: 358.00 samples/sec	Train-accuracy=0.835417
2017-07-21 15:16:16,329 Epoch[1] Train-accuracy=0.817708
2017-07-21 15:16:16,330 Epoch[1] Time cost=5.986
2017-07-21 15:16:18,414 Saved checkpoint to "../../models/pretrained-models/nin/nin-train-224-lr-0.001-momentum-0.9-0002.params"
2017-07-21 15:16:21,055 Epoch[1] Validation-accuracy=0.854167
2017-07-21 15:16:22,713 Epoch[2] Batch [10]	Speed: 305.69 samples/sec	Train-accuracy=0.839015
2017-07-21 15:16:24,057 Epoch[2] Batch [20]	Speed: 357.13 samples/sec	Train-accuracy=0.856250
2017-07-21 15:16:25,404 Epoch[2] Batch [30]	Speed: 356.47 samples/sec	Train-accuracy=0.854167
2017-07-21 15:16:26,746 Epoch[2] Batch [40]	Speed: 357.84 samples/sec	Train-accuracy=0.847917
2017-07-21 15:16:27,417 Epoch[2] Train-accuracy=0.829167
2017-07-21 15:16:27,418 Epoch[2] Time cost=6.363
2017-07-21 15:16:27,564 Saved checkpoint to "../../models/pretrained-models/nin/nin-train-224-lr-0.001-momentum-0.9-0003.params"
2017-07-21 15:16:27,780 Epoch[2] Validation-accuracy=0.875000
2017-07-21 15:16:29,220 Epoch[3] Batch [10]	Speed: 357.20 samples/sec	Train-accuracy=0.848485
2017-07-21 15:16:30,565 Epoch[3] Batch [20]	Speed: 356.91 samples/sec	Train-accuracy=0.856250
2017-07-21 15:16:31,983 Epoch[3] Batch [30]	Speed: 338.42 samples/sec	Train-accuracy=0.822917
2017-07-21 15:16:33,328 Epoch[3] Batch [40]	Speed: 357.11 samples/sec	Train-accuracy=0.887500
2017-07-21 15:16:33,867 Epoch[3] Train-accuracy=0.864583
2017-07-21 15:16:33,867 Epoch[3] Time cost=6.086
2017-07-21 15:16:33,985 Saved checkpoint to "../../models/pretrained-models/nin/nin-train-224-lr-0.001-momentum-0.9-0004.params"
2017-07-21 15:16:34,186 Epoch[3] Validation-accuracy=0.843750
2017-07-21 15:16:35,628 Epoch[4] Batch [10]	Speed: 357.33 samples/sec	Train-accuracy=0.909091
2017-07-21 15:16:36,972 Epoch[4] Batch [20]	Speed: 357.40 samples/sec	Train-accuracy=0.906250
2017-07-21 15:16:38,313 Epoch[4] Batch [30]	Speed: 357.89 samples/sec	Train-accuracy=0.881250
2017-07-21 15:16:39,652 Epoch[4] Batch [40]	Speed: 358.61 samples/sec	Train-accuracy=0.925000
